ID_Local,Rubro,Superficie_m2,Metros_Vidriera,Inversion_CAPEX_USD,Alquiler_Mensual_USD,Transito_Peatonal_Pico,Puntos_Interes_Proximos,Distancia_Ancla_Metros,Ubicacion_Esquina,Nivel_Socioeconomico,Densidad_Competencia,Venta_Online_Pct,Ticket_Promedio_USD,Margen_EBITDA_Pct,Ventas_Anuales_Totales_USD
20,Gastronomía,81,16.7,32366,3163,633,3,71,0,C3,17,0.09,28,0.26,371162
21,Gastronomía,60,12.0,54245,5162,731,5,320,0,D,13,0.1,23,0.23,232527
22,Gastronomía,110,19.8,50525,3001,938,4,139,0,C3,3,0.02,38,0.26,648932
23,Gastronomía,86,18.7,40700,3334,681,5,1,0,C2,7,0.04,34,0.24,425084
24,Gastronomía,101,16.3,44657,4030,609,7,9,0,D,11,0.03,35,0.2,571693
25,Gastronomía,109,23.1,77925,4091,905,8,357,0,C3,14,0.03,31,0.27,312974
26,Gastronomía,61,12.7,66059,2749,629,6,167,0,C3,6,0.05,28,0.26,402630
27,Gastronomía,80,13.8,50931,5531,926,6,0,0,ABC1,9,0.06,48,0.27,879561
28,Gastronomía,63,14.0,50338,4227,949,8,187,1,C2,13,0.07,26,0.26,523580
29,Gastronomía,87,18.0,67739,3529,684,6,63,0,C3,6,0.05,43,0.26,338508
30,Gastronomía,121,21.8,71115,3923,935,5,31,0,D,4,0.03,30,0.22,480810
31,Gastronomía,99,15.3,39566,4867,675,5,156,0,C3,11,0.06,28,0.25,561669
32,Gastronomía,76,25.0,67334,4649,754,4,80,1,C3,16,0.08,41,0.23,499377
33,Gastronomía,108,25.0,40215,4091,949,5,577,1,C3,9,0.03,36,0.2,334004
34,Gastronomía,74,14.3,51060,3031,896,5,480,0,C3,3,0.09,34,0.22,487797
35,Gastronomía,91,17.7,31816,3590,716,6,46,0,ABC1,5,0.05,52,0.24,488741
36,Gastronomía,95,16.9,44845,4772,885,5,213,0,D,8,0.1,28,0.27,300760
37,Gastronomía,78,10.9,43573,3025,664,5,110,0,D,8,0.07,41,0.21,480600
38,Gastronomía,61,11.4,75904,5467,696,7,105,0,C3,11,0.03,36,0.21,599923
39,Gastronomía,60,8.4,31207,4078,923,7,211,0,D,6,0.06,30,0.23,553050
40,Gastronomía,71,25.0,60634,4488,949,3,207,1,ABC1,3,0.1,38,0.22,624989
41,Gastronomía,66,11.3,62422,5659,837,5,332,0,C2,5,0.06,27,0.22,565120
42,Gastronomía,123,25.0,41107,2571,949,7,47,1,C3,8,0.05,42,0.26,752357
43,Gastronomía,122,24.4,54825,3601,706,7,511,0,C3,7,0.08,41,0.24,326131
44,Gastronomía,90,22.7,76642,4046,856,3,49,1,C3,7,0.1,36,0.23,300571
45,Gastronomía,114,25.0,56144,3595,943,5,29,0,ABC1,10,0.07,46,0.2,758048
46,Gastronomía,77,14.3,56243,4163,850,3,158,0,C3,14,0.07,32,0.26,431095
47,Gastronomía,95,19.4,67847,2981,885,4,208,0,C3,3,0.05,27,0.24,534054
48,Gastronomía,121,18.5,56035,2573,650,5,66,0,C3,17,0.06,38,0.23,366976
49,Gastronomía,105,25.0,72921,7305,934,6,252,0,ABC1,11,0.08,50,0.26,308149
50,Gastronomía,115,25.0,42148,3828,801,5,217,1,C3,9,0.06,31,0.21,219496
51,Gastronomía,109,16.8,65379,5500,906,4,94,0,C3,4,0.06,35,0.24,474982
52,Gastronomía,93,20.9,78371,3496,653,4,793,0,ABC1,12,0.09,40,0.27,402751
53,Gastronomía,121,23.5,49565,3951,826,4,87,0,D,16,0.06,26,0.21,365960
54,Gastronomía,83,13.4,79793,3646,668,6,3,0,D,6,0.1,23,0.27,502619
55,Gastronomía,91,19.4,48276,3159,710,4,46,1,C3,11,0.08,26,0.27,538261
56,Gastronomía,71,12.9,79206,3072,806,6,146,0,C3,12,0.07,35,0.27,256493
57,Gastronomía,126,25.0,54932,4974,832,5,371,1,ABC1,4,0.08,50,0.23,461511
58,Gastronomía,78,14.0,77180,6051,755,5,82,0,C2,12,0.04,29,0.21,484263
59,Gastronomía,129,22.1,40991,3789,949,2,422,1,D,3,0.08,35,0.22,470516
60,Gastronomía,95,13.8,40466,3663,818,6,8,0,D,11,0.09,31,0.21,285352
61,Gastronomía,98,18.2,70665,4229,636,9,65,0,D,4,0.04,31,0.25,395025
62,Gastronomía,77,11.1,46929,4056,910,6,293,0,C3,10,0.04,38,0.21,463412
63,Gastronomía,112,21.4,56853,7365,931,5,65,0,ABC1,11,0.04,56,0.25,516399
64,Gastronomía,67,11.7,68768,3844,892,9,281,0,D,9,0.06,27,0.24,304092
65,Gastronomía,74,20.0,62502,4373,748,5,61,1,D,5,0.09,26,0.26,674377
66,Gastronomía,122,25.0,55683,3528,618,7,34,0,C2,8,0.1,34,0.26,315890
67,Gastronomía,107,23.4,54305,4179,635,5,97,0,C2,9,0.05,40,0.22,234474
68,Gastronomía,124,25.0,57526,3740,949,5,44,1,C2,17,0.08,33,0.25,337077
69,Gastronomía,75,13.1,44698,4892,728,9,62,0,C3,11,0.09,26,0.21,271464
70,Gastronomía,89,19.1,75907,4337,929,4,52,0,ABC1,6,0.07,47,0.22,829026
71,Gastronomía,112,20.1,53699,5584,804,2,49,0,ABC1,8,0.04,56,0.25,469852
72,Gastronomía,114,25.0,34454,7640,784,7,224,0,ABC1,17,0.07,45,0.23,675567
73,Gastronomía,63,16.8,63634,4701,712,6,130,1,C3,6,0.03,43,0.24,213200
74,Gastronomía,103,16.4,46463,2868,862,6,163,0,D,12,0.03,37,0.25,548201
75,Gastronomía,90,14.8,66638,3755,795,3,16,0,D,14,0.03,28,0.21,319789
76,Gastronomía,122,19.9,41163,3669,668,8,220,0,C2,14,0.08,46,0.21,339997
77,Gastronomía,109,25.0,52916,6986,843,5,120,0,ABC1,2,0.06,57,0.25,562784
78,Gastronomía,71,10.2,35953,3411,613,3,111,0,D,2,0.05,40,0.23,160079
79,Gastronomía,117,20.1,52941,2120,657,5,86,0,D,13,0.08,32,0.25,317929
80,Gastronomía,100,20.3,48217,2349,705,5,57,1,D,7,0.1,33,0.23,331935
81,Gastronomía,60,14.1,68163,3168,847,5,120,1,D,8,0.06,28,0.23,433844
82,Gastronomía,76,14.6,55421,3612,605,7,78,0,D,9,0.05,28,0.22,169275
83,Gastronomía,104,23.0,45758,2640,754,3,154,1,D,5,0.06,36,0.21,450510
84,Gastronomía,108,25.0,47357,3284,748,6,138,1,ABC1,3,0.04,34,0.23,445508
85,Gastronomía,100,22.0,35243,5571,720,8,245,0,ABC1,9,0.03,36,0.26,248789
86,Gastronomía,105,14.8,72945,5330,739,3,116,0,C2,19,0.05,37,0.26,347157
87,Gastronomía,63,15.3,38548,4811,800,4,32,0,ABC1,9,0.09,47,0.2,601906
88,Gastronomía,106,25.0,44714,7150,949,2,344,1,ABC1,7,0.08,36,0.21,645382
89,Gastronomía,74,12.8,33540,2551,734,6,17,0,D,7,0.07,29,0.26,583582
90,Gastronomía,115,25.0,31624,2727,693,9,267,1,C3,6,0.04,23,0.26,673687
91,Gastronomía,71,22.5,39266,4834,673,8,138,1,C3,10,0.04,36,0.2,334888
92,Gastronomía,69,14.8,55830,2811,616,4,41,0,C3,10,0.06,39,0.2,300889
93,Gastronomía,69,20.7,36324,3776,664,8,36,1,ABC1,5,0.08,47,0.25,592450
94,Gastronomía,113,18.7,57908,2793,736,6,254,0,D,11,0.02,36,0.23,243558
95,Gastronomía,88,15.9,51024,2394,734,5,525,0,D,10,0.07,29,0.25,483635
96,Gastronomía,107,15.2,74965,6623,677,7,18,0,C2,15,0.02,40,0.26,504913
97,Gastronomía,62,13.4,71391,2501,949,7,292,1,D,14,0.05,23,0.26,491098
98,Gastronomía,82,13.1,32358,3011,600,2,231,0,D,4,0.02,25,0.23,162511
99,Gastronomía,110,25.0,78858,4738,707,2,67,1,ABC1,5,0.03,35,0.21,240768
100,Gastronomía,117,17.8,45183,4012,855,6,95,0,D,14,0.03,21,0.27,612739
101,Gastronomía,117,22.5,55275,4536,830,5,373,0,D,17,0.08,30,0.22,204691
102,Gastronomía,85,12.4,54415,5899,871,7,390,0,C2,8,0.09,34,0.21,493148
103,Gastronomía,82,19.7,46783,4097,910,5,247,1,D,17,0.08,36,0.26,701641
104,Gastronomía,62,12.0,60579,3382,686,6,41,0,C3,1,0.05,39,0.25,560596
105,Gastronomía,97,18.0,32704,3090,733,6,26,0,D,6,0.03,24,0.21,532268
106,Gastronomía,113,14.2,59902,3492,808,5,55,0,D,15,0.1,24,0.23,436497
107,Gastronomía,98,16.0,30560,5320,942,9,68,0,C2,8,0.09,43,0.26,618020
108,Gastronomía,93,25.0,43849,6902,821,7,543,1,ABC1,4,0.09,35,0.2,438067
109,Gastronomía,120,16.7,43071,3837,856,4,50,0,C2,11,0.08,32,0.24,686356
110,Gastronomía,81,22.0,57431,2783,817,7,243,1,D,5,0.08,26,0.22,370510
111,Gastronomía,91,12.8,61092,2119,781,5,578,0,D,6,0.03,30,0.2,174790
112,Gastronomía,119,25.0,56834,6125,702,8,186,1,C2,4,0.07,31,0.2,601001
113,Gastronomía,71,14.1,71449,5895,737,7,312,0,C2,12,0.1,36,0.24,707663
114,Gastronomía,78,17.7,41565,4070,674,3,13,0,ABC1,14,0.1,38,0.27,454098
115,Gastronomía,92,17.7,33687,7057,648,3,178,0,ABC1,5,0.08,56,0.27,619705
116,Gastronomía,125,25.0,37294,4810,890,5,106,1,C2,13,0.07,32,0.25,496631
117,Gastronomía,124,22.3,33904,4344,879,7,494,1,D,15,0.09,23,0.27,337130
118,Gastronomía,63,10.7,74071,4568,890,3,491,0,C2,13,0.08,34,0.25,488396
119,Gastronomía,84,19.9,53528,3979,851,7,267,1,ABC1,3,0.03,52,0.24,816489
120,Gastronomía,95,16.1,48929,2323,889,8,119,0,D,14,0.05,21,0.22,287216
121,Gastronomía,102,14.2,56895,3378,771,6,228,0,C3,15,0.08,31,0.23,218917
122,Gastronomía,110,17.1,50411,5399,914,7,242,0,C2,2,0.03,45,0.27,241572
123,Gastronomía,96,24.6,68825,5148,601,7,92,0,ABC1,9,0.04,36,0.27,440722
124,Gastronomía,85,11.9,79982,4835,762,7,22,0,C2,7,0.07,40,0.22,376524
125,Gastronomía,125,16.9,51234,5178,610,6,42,0,C2,5,0.07,28,0.23,588419
126,Gastronomía,92,25.0,34767,5954,924,4,387,1,C2,10,0.02,40,0.23,318624
127,Gastronomía,84,18.2,60764,3848,882,6,99,1,D,6,0.09,39,0.26,610979
128,Gastronomía,103,18.5,72306,4571,942,8,23,0,ABC1,6,0.04,53,0.21,723616
129,Gastronomía,100,25.0,58777,4240,757,7,69,1,C3,7,0.04,40,0.27,589314
130,Gastronomía,64,13.0,49331,3532,627,7,19,0,C2,18,0.04,39,0.21,380640
131,Gastronomía,115,20.5,41850,2965,672,4,129,0,D,11,0.08,30,0.25,459923
132,Gastronomía,73,12.1,73403,4651,729,6,48,0,ABC1,7,0.07,44,0.26,339582
133,Gastronomía,126,21.5,66743,3070,842,7,194,0,C3,14,0.1,34,0.21,411012
134,Gastronomía,92,15.8,36197,3605,821,6,363,0,D,15,0.03,32,0.21,363189
135,Gastronomía,117,23.0,51202,4277,716,4,261,0,C2,5,0.04,29,0.2,501660
136,Gastronomía,92,13.9,35882,5302,919,3,11,0,C2,11,0.08,33,0.25,775456
137,Gastronomía,69,9.6,59169,3913,677,7,54,0,C2,9,0.06,43,0.23,591836
138,Gastronomía,101,13.9,71859,5124,909,6,298,0,C3,8,0.04,25,0.25,601540
139,Gastronomía,126,21.7,57254,3573,736,3,710,0,C3,4,0.09,42,0.22,401265
140,Gastronomía,99,19.8,79032,5394,879,5,112,0,C3,4,0.03,37,0.25,217058
141,Gastronomía,111,25.0,52372,4175,789,7,5,1,C3,15,0.03,36,0.21,424926
142,Gastronomía,64,13.4,45635,4513,928,6,973,0,C3,7,0.07,26,0.26,293847
143,Gastronomía,103,12.2,45587,4309,628,8,292,0,D,5,0.08,25,0.2,272567
144,Gastronomía,81,23.3,50340,3915,842,6,1,1,C2,6,0.06,48,0.22,627294
145,Gastronomía,75,15.8,74942,4923,737,3,21,0,C3,14,0.04,40,0.26,402184
146,Gastronomía,87,17.7,69012,6428,912,4,177,0,ABC1,6,0.09,48,0.26,713557
147,Gastronomía,93,25.0,71228,2437,949,7,26,1,C3,8,0.08,44,0.22,421396
148,Gastronomía,88,16.2,30006,3447,671,4,551,0,C3,7,0.05,26,0.24,210092
149,Gastronomía,122,23.0,68897,3199,704,4,121,0,C3,10,0.04,28,0.26,244355
150,Gastronomía,66,11.6,62547,4233,690,5,51,0,ABC1,12,0.1,46,0.26,646385
151,Gastronomía,66,10.4,73907,2667,861,7,65,0,D,15,0.08,40,0.22,248750
152,Gastronomía,80,25.0,34502,4077,937,6,188,1,ABC1,6,0.03,41,0.24,388453
153,Gastronomía,104,17.7,54112,7115,942,4,1000,0,ABC1,8,0.03,50,0.27,469241
154,Gastronomía,102,17.8,73502,5124,899,7,53,0,C2,10,0.03,38,0.27,710292
155,Gastronomía,90,17.3,76517,3055,852,3,307,0,C3,13,0.04,29,0.25,266889
156,Gastronomía,82,11.0,58557,3891,919,6,42,0,D,11,0.05,32,0.26,636514
157,Gastronomía,105,21.3,57214,3633,917,5,149,0,ABC1,6,0.03,52,0.23,801071
158,Gastronomía,74,21.7,38643,5084,894,8,80,1,C3,15,0.05,36,0.22,754843
159,Gastronomía,94,16.3,61102,2829,722,4,300,0,C2,9,0.06,26,0.24,356293
160,Gastronomía,128,25.0,39120,6606,907,2,112,1,C2,1,0.02,49,0.22,477022
161,Gastronomía,106,21.9,66597,4453,933,2,112,0,C3,11,0.1,28,0.26,525116
162,Gastronomía,106,13.9,60872,4267,915,8,54,0,D,9,0.08,36,0.23,631570
163,Gastronomía,114,20.8,43200,3182,764,3,135,0,C2,6,0.07,41,0.24,559605
164,Gastronomía,102,12.9,59778,3097,629,4,50,0,D,7,0.07,26,0.22,213806
165,Gastronomía,117,21.8,72600,2459,715,6,49,0,D,4,0.09,34,0.22,202955
166,Gastronomía,87,19.8,67539,2823,644,6,108,1,C3,7,0.05,43,0.22,541989
167,Gastronomía,117,20.5,68501,3692,667,3,109,0,D,8,0.08,32,0.22,191587
168,Gastronomía,107,22.5,68912,4906,720,5,206,0,C3,10,0.03,36,0.21,537625
169,Gastronomía,107,18.1,32194,4867,896,6,364,0,D,12,0.03,38,0.21,308379
170,Gastronomía,76,12.7,58211,4631,629,7,57,0,C2,8,0.02,39,0.21,627749
171,Gastronomía,86,13.2,72592,2762,770,5,144,0,D,8,0.02,29,0.24,528199
172,Gastronomía,125,22.8,41189,2463,671,6,16,0,D,12,0.07,30,0.22,287673
173,Gastronomía,78,24.9,74814,4637,943,5,334,1,C3,6,0.08,29,0.23,538201
174,Gastronomía,117,20.7,63635,5698,610,7,199,0,C3,10,0.02,26,0.2,305453
175,Gastronomía,90,16.0,37868,5569,907,6,346,0,C3,7,0.02,31,0.2,557253
176,Gastronomía,104,14.3,30306,4644,661,5,52,0,C2,5,0.06,45,0.23,403986
177,Gastronomía,123,25.0,50097,3466,949,8,137,1,C3,9,0.08,36,0.21,678102
178,Gastronomía,85,25.0,45846,6362,712,7,114,1,C2,11,0.04,31,0.23,609145
179,Gastronomía,111,21.5,49954,3347,911,8,203,0,C3,16,0.03,35,0.23,266359
180,Gastronomía,121,22.2,52588,3220,678,6,320,0,D,12,0.08,31,0.23,308512
181,Gastronomía,82,11.5,79497,3624,864,4,4,0,C3,6,0.05,26,0.23,588002
182,Gastronomía,121,16.9,58942,4207,949,9,250,0,D,9,0.04,31,0.22,335464
183,Gastronomía,113,21.7,78735,3948,660,5,394,1,D,10,0.06,31,0.26,340397
184,Gastronomía,107,18.1,52764,3465,700,4,40,0,D,8,0.05,22,0.26,278261
185,Gastronomía,84,13.6,59292,3382,647,5,14,0,C2,7,0.09,45,0.26,572241
186,Gastronomía,82,14.2,44774,5548,758,4,45,0,ABC1,3,0.04,41,0.23,789601
187,Gastronomía,67,17.0,33690,4280,921,6,29,1,C2,17,0.04,48,0.2,470083
188,Gastronomía,67,13.7,46945,2477,919,5,514,0,D,10,0.05,36,0.24,338655
189,Gastronomía,97,14.3,40898,3516,696,7,24,0,C3,17,0.07,24,0.22,394920
190,Gastronomía,125,25.0,43583,3545,843,6,14,1,C3,11,0.03,29,0.21,446191
191,Gastronomía,64,11.1,32428,3415,723,7,260,0,C3,14,0.08,39,0.26,388282
192,Gastronomía,104,25.0,48228,3709,899,3,26,0,ABC1,13,0.06,49,0.23,688353
193,Gastronomía,114,25.0,56798,4799,766,7,1000,0,ABC1,6,0.03,53,0.2,339857
194,Gastronomía,106,21.4,69186,5630,692,7,41,0,C3,12,0.1,33,0.21,545394
195,Gastronomía,94,16.6,71136,3532,617,5,384,0,C3,5,0.03,31,0.25,310548
196,Gastronomía,72,14.1,65032,5466,822,4,366,0,C2,5,0.02,48,0.21,616315
197,Gastronomía,99,22.6,74151,3014,938,3,64,1,D,4,0.07,32,0.23,341885
198,Gastronomía,62,13.0,54841,4496,700,5,4,0,C2,2,0.04,44,0.24,508558
199,Gastronomía,127,18.5,47910,4835,761,8,17,0,C3,9,0.07,34,0.25,549811
200,Gastronomía,103,25.0,48392,2830,943,4,5,1,C3,4,0.08,25,0.23,302159
201,Gastronomía,105,23.5,78919,3050,734,3,448,1,D,3,0.09,25,0.2,394773
202,Gastronomía,61,10.2,65077,3291,704,7,716,0,ABC1,6,0.03,33,0.21,362589
203,Gastronomía,77,14.5,65635,3310,780,6,190,0,C3,6,0.07,27,0.26,563644
204,Gastronomía,121,21.6,60657,4882,700,3,179,0,D,4,0.02,34,0.24,419919
205,Gastronomía,73,18.5,61846,6001,686,5,136,0,ABC1,11,0.09,52,0.22,635332
206,Gastronomía,105,25.0,59842,3393,875,6,255,1,C2,13,0.03,28,0.24,658394
207,Gastronomía,85,16.5,30566,5662,758,5,20,0,C2,11,0.04,40,0.26,348797
208,Gastronomía,102,19.2,75568,2297,947,5,150,0,D,8,0.07,27,0.24,322583
209,Gastronomía,116,18.6,59894,3854,913,7,372,0,ABC1,8,0.02,34,0.25,642402
210,Gastronomía,127,22.5,30888,3346,902,3,5,0,C2,12,0.06,41,0.22,677000
211,Gastronomía,121,25.0,44332,3918,780,8,134,1,C3,15,0.05,35,0.24,630995
212,Gastronomía,113,25.0,41234,6547,683,5,475,0,ABC1,10,0.06,37,0.22,390071
213,Gastronomía,83,11.2,71815,3211,676,9,32,0,C2,7,0.04,29,0.26,704355
214,Gastronomía,94,15.0,38191,4133,716,5,15,0,D,10,0.07,34,0.24,501098
215,Gastronomía,102,25.0,64870,3430,753,3,48,1,ABC1,2,0.04,49,0.21,658686
216,Gastronomía,98,13.6,30280,5177,600,4,158,0,C3,2,0.09,39,0.22,321290
217,Gastronomía,116,25.0,41812,3655,646,3,99,1,ABC1,5,0.09,44,0.25,483587
218,Gastronomía,88,18.2,48430,4959,859,7,155,0,C3,6,0.08,32,0.22,627456
219,Gastronomía,124,22.7,43336,5023,749,6,109,0,D,12,0.07,37,0.21,552021
220,Gastronomía,116,20.8,67259,3848,870,6,38,0,ABC1,10,0.09,33,0.21,480893
221,Gastronomía,115,20.7,35499,6518,870,2,161,0,C2,7,0.08,46,0.22,640807
222,Gastronomía,94,14.6,53617,3146,682,9,16,0,C2,8,0.08,42,0.2,553620
223,Gastronomía,70,14.8,48006,5446,781,7,727,0,C3,15,0.09,28,0.26,214365
224,Gastronomía,101,18.0,66619,4981,827,6,35,0,C2,8,0.02,31,0.23,524296
225,Gastronomía,113,22.0,65755,3928,785,4,509,0,D,10,0.02,39,0.26,186396
226,Gastronomía,66,17.7,68492,2952,773,5,214,1,D,12,0.06,24,0.24,537565
227,Gastronomía,88,17.8,44608,4683,940,5,49,0,C3,6,0.08,36,0.24,587824
228,Gastronomía,92,18.3,32167,4855,685,5,0,0,D,3,0.03,29,0.25,280623
229,Gastronomía,122,25.0,51224,2853,789,7,178,1,C2,16,0.08,47,0.21,613380
230,Gastronomía,117,20.3,69702,5394,815,6,97,0,C3,16,0.08,31,0.21,651325
231,Gastronomía,126,25.0,51601,3700,933,7,55,1,C2,12,0.09,30,0.21,912188
232,Gastronomía,91,15.4,73195,4284,797,7,204,0,C3,13,0.04,29,0.23,465153
233,Gastronomía,126,22.8,62535,3448,949,3,305,1,D,6,0.05,26,0.26,468635
234,Gastronomía,107,13.9,36304,4138,667,7,31,0,D,11,0.06,29,0.26,268907
235,Gastronomía,109,13.7,50120,3468,658,5,105,0,D,6,0.06,31,0.26,347106
236,Gastronomía,125,25.0,51495,6877,658,6,291,0,ABC1,5,0.07,45,0.24,253046
237,Gastronomía,99,15.0,42486,4477,621,8,95,0,D,5,0.08,35,0.27,249221
238,Gastronomía,106,19.1,58439,2731,854,5,13,0,C3,5,0.06,40,0.2,634937
239,Gastronomía,75,14.9,52920,4763,635,4,126,0,D,7,0.04,41,0.21,467245
240,Gastronomía,82,25.0,59734,4221,849,7,150,1,C2,5,0.07,38,0.21,500732
241,Gastronomía,123,19.6,42029,5744,804,2,272,0,C2,9,0.02,52,0.26,549513
242,Gastronomía,76,14.0,69330,3355,882,4,134,0,ABC1,8,0.02,51,0.25,297599
243,Gastronomía,127,19.6,45328,4209,838,6,96,0,C3,7,0.07,36,0.22,391065
244,Gastronomía,105,20.4,67621,4463,820,7,145,0,C3,4,0.06,31,0.26,259768
245,Gastronomía,90,16.3,75664,2487,910,4,22,1,D,6,0.09,38,0.23,487672
246,Gastronomía,113,16.2,68327,3017,905,6,236,0,C3,8,0.1,26,0.26,544587
247,Gastronomía,71,12.8,55087,3347,903,6,95,0,D,16,0.04,23,0.26,291495
248,Gastronomía,75,22.0,70061,4664,949,8,231,1,ABC1,9,0.02,55,0.23,689381
249,Gastronomía,71,25.0,61945,3465,949,7,276,1,ABC1,10,0.06,55,0.25,406077
250,Gastronomía,92,25.0,42052,4004,846,6,194,1,ABC1,6,0.04,42,0.24,575018
251,Gastronomía,127,25.0,66089,4113,908,2,53,0,ABC1,15,0.09,43,0.26,669709
252,Gastronomía,74,15.8,60932,3870,671,6,15,0,C2,8,0.06,49,0.23,712196
253,Gastronomía,94,13.0,74610,3364,944,2,140,0,D,18,0.03,37,0.26,606171
254,Gastronomía,72,15.3,30448,4404,705,3,116,0,C2,8,0.03,33,0.26,245472
255,Gastronomía,90,11.3,79652,2182,641,8,476,0,D,8,0.07,23,0.22,187094
256,Gastronomía,89,13.9,31166,6069,785,8,80,0,C2,5,0.09,37,0.25,472576
257,Gastronomía,66,12.8,77514,4272,603,5,412,0,C3,12,0.03,43,0.25,292520
258,Gastronomía,77,18.4,57470,7487,752,5,505,0,ABC1,11,0.04,45,0.25,614998
259,Gastronomía,101,15.9,73526,6785,836,7,83,0,C2,4,0.06,42,0.21,257309
260,Gastronomía,62,9.8,54412,7162,888,2,127,0,ABC1,2,0.08,52,0.26,532403
261,Gastronomía,90,12.6,40200,4117,664,2,119,0,D,2,0.04,27,0.2,282200
262,Gastronomía,123,23.7,57683,3585,695,8,100,1,D,6,0.05,27,0.23,551290
263,Gastronomía,84,13.2,71068,4022,638,7,117,0,D,10,0.05,26,0.26,332623
264,Gastronomía,96,19.2,72125,7138,701,4,77,0,ABC1,16,0.08,35,0.22,676575
265,Gastronomía,66,16.7,54369,6893,811,5,75,1,ABC1,10,0.04,49,0.21,788400
266,Gastronomía,113,25.0,44008,4992,690,6,11,1,ABC1,9,0.07,34,0.21,686394
267,Gastronomía,92,24.0,61714,4240,878,7,71,1,C2,12,0.08,45,0.26,430208
268,Gastronomía,94,20.9,32371,5561,776,5,266,0,ABC1,12,0.05,43,0.2,445062
269,Gastronomía,109,19.1,50979,4383,693,3,4,0,C3,1,0.07,26,0.25,227559
270,Gastronomía,119,24.0,51667,4442,939,7,61,0,C3,14,0.05,32,0.26,273035
271,Gastronomía,129,19.8,37186,2480,716,6,703,0,D,7,0.07,22,0.25,293558
272,Gastronomía,109,13.6,41367,4386,664,8,100,0,D,9,0.05,40,0.27,504235
273,Gastronomía,122,23.5,53088,4971,799,3,146,0,C2,8,0.04,39,0.25,470720
274,Gastronomía,85,25.0,45348,4422,824,3,35,1,C3,10,0.09,39,0.25,518968
275,Gastronomía,61,20.1,73078,5360,949,6,2,1,C2,9,0.08,34,0.24,894673
276,Gastronomía,91,16.2,70375,4228,742,7,68,0,ABC1,1,0.1,50,0.23,558567
277,Gastronomía,123,17.5,36101,4996,774,6,426,0,C3,13,0.03,45,0.26,591623
278,Gastronomía,129,20.4,56230,4373,624,5,434,0,C3,6,0.09,32,0.22,371094
279,Gastronomía,66,14.8,45857,5197,808,5,49,0,C3,4,0.09,40,0.25,554111
280,Gastronomía,110,25.0,33203,6191,849,5,248,1,C2,10,0.07,28,0.23,749256
281,Gastronomía,64,8.1,62324,3795,649,8,208,0,D,13,0.03,36,0.26,466360
282,Gastronomía,64,14.2,61849,3434,691,7,162,0,C3,3,0.07,26,0.26,283712
283,Gastronomía,73,11.9,75615,4109,747,7,142,0,C2,7,0.08,39,0.26,352642
284,Gastronomía,100,23.7,78448,3734,786,5,8,1,D,8,0.09,34,0.27,514026
285,Gastronomía,118,21.4,43016,5188,922,5,16,0,ABC1,8,0.06,44,0.23,570934
286,Gastronomía,117,15.1,54728,3027,635,9,44,0,D,12,0.08,32,0.23,347174
287,Gastronomía,80,18.0,47877,3256,759,5,215,0,C2,10,0.06,42,0.22,670029
288,Gastronomía,102,21.3,56530,3956,656,2,76,0,C2,3,0.06,29,0.22,471333
289,Gastronomía,122,18.7,61480,4788,908,5,167,0,C3,16,0.07,43,0.23,685117
