ID_Local,Rubro,Superficie_m2,Metros_Vidriera,Inversion_CAPEX_USD,Antiguedad_Anios,Inversion_Marketing_Mensual_USD,Alquiler_Mensual_USD,Transito_Peatonal_Pico,Puntos_Interes_Proximos,Distancia_Ancla_Metros,Ubicacion_Esquina,Nivel_Socioeconomico,Densidad_Poblacional_Hab_Km2,Tipo_Ubicacion,Densidad_Competencia,Venta_Online_Pct,Ticket_Promedio_USD,Posicionamiento_Precio,Margen_EBITDA_Pct,Ventas_Anuales_Totales_USD
26,Gastronomía,61,12.7,66059,13.3,2236,2763,749,6,77,0,C3,20962,Calle Comercial,6,0.05,28,Económico,0.26,534209
27,Gastronomía,80,13.8,50931,5.0,6417,4862,949,6,553,0,ABC1,11192,Barrio Residencial,9,0.06,48,Premium,0.27,892266
28,Gastronomía,63,14.0,50338,1.1,2018,3571,949,8,387,1,C2,11534,Barrio Residencial,13,0.07,26,Económico,0.26,462006
29,Gastronomía,87,18.0,67739,3.8,1611,3293,707,6,187,0,C3,14582,Calle Comercial,6,0.05,43,Medio-Alto,0.26,427942
30,Gastronomía,121,21.8,71115,6.1,1513,5562,949,5,9,0,D,15957,Shopping,4,0.03,30,Económico,0.22,701096
31,Gastronomía,99,15.3,39566,6.0,1736,6893,810,5,40,0,C3,20364,Centro Comercial,11,0.06,28,Económico,0.25,771998
32,Gastronomía,76,25.0,67334,0.6,1256,6701,860,4,14,1,C3,17014,Centro Comercial,16,0.08,41,Medio-Alto,0.23,485557
33,Gastronomía,108,25.0,40215,6.2,1020,3080,949,5,775,1,C3,19375,Barrio Residencial,9,0.03,36,Medio,0.2,310052
34,Gastronomía,74,14.3,51060,1.6,2211,2504,891,5,578,0,C3,13037,Barrio Residencial,3,0.09,34,Medio,0.22,449202
35,Gastronomía,91,17.7,31816,9.4,3792,4658,725,6,48,0,ABC1,11543,Centro Comercial,5,0.05,52,Premium,0.24,818456
36,Gastronomía,95,16.9,44845,1.8,835,4501,949,5,163,0,D,23574,Calle Comercial,8,0.1,28,Económico,0.27,336351
37,Gastronomía,78,10.9,43573,3.5,1048,3836,762,5,17,0,D,15905,Centro Comercial,8,0.07,41,Medio-Alto,0.21,636073
38,Gastronomía,61,11.4,75904,4.9,2926,4072,767,7,528,0,C3,19492,Barrio Residencial,11,0.03,36,Medio-Alto,0.21,573035
39,Gastronomía,60,8.4,31207,5.1,1560,3442,949,7,379,0,D,20708,Barrio Residencial,6,0.06,30,Económico,0.23,518210
40,Gastronomía,71,25.0,60634,8.7,4626,6090,845,3,48,1,ABC1,8830,Centro Comercial,3,0.1,38,Medio-Alto,0.22,1052451
41,Gastronomía,66,11.3,62422,11.4,1967,6216,925,5,87,0,C2,16988,Calle Comercial,5,0.06,27,Económico,0.22,654258
42,Gastronomía,123,25.0,41107,0.3,2450,2496,914,7,281,1,C3,13429,Calle Comercial,8,0.05,42,Medio-Alto,0.26,758399
43,Gastronomía,122,24.4,54825,12.4,1342,5295,697,7,15,0,C3,12567,Shopping,7,0.08,41,Medio-Alto,0.24,514260
44,Gastronomía,90,22.7,76642,4.7,1057,4909,949,3,27,1,C3,20949,Centro Comercial,7,0.1,36,Medio-Alto,0.23,387203
45,Gastronomía,114,25.0,56144,6.2,4360,3930,820,5,60,0,ABC1,5553,Calle Comercial,10,0.07,46,Premium,0.2,1004594
46,Gastronomía,77,14.3,56243,5.8,1301,6102,949,3,30,0,C3,21522,Shopping,14,0.07,32,Medio,0.26,598571
47,Gastronomía,95,19.4,67847,6.4,1906,2804,949,4,226,0,C3,16653,Calle Comercial,3,0.05,27,Económico,0.24,627201
48,Gastronomía,121,18.5,56035,4.0,1250,2183,719,5,527,0,C3,18192,Barrio Residencial,17,0.06,38,Medio-Alto,0.23,360691
49,Gastronomía,105,25.0,72921,0.7,1699,6669,893,6,181,0,ABC1,10145,Calle Comercial,11,0.08,50,Premium,0.26,316354
50,Gastronomía,115,25.0,42148,1.1,1019,3372,893,5,337,1,C3,19816,Barrio Residencial,9,0.06,31,Medio,0.21,212959
51,Gastronomía,109,16.8,65379,1.5,2087,5837,949,4,278,0,C3,21716,Calle Comercial,4,0.06,35,Medio,0.24,491249
52,Gastronomía,93,20.9,78371,6.3,2814,4504,636,4,1,0,ABC1,11486,Centro Comercial,12,0.09,40,Premium,0.27,519733
53,Gastronomía,121,23.5,49565,1.5,1217,4256,949,4,246,0,D,23415,Calle Comercial,16,0.06,26,Económico,0.21,378425
54,Gastronomía,83,13.4,79793,1.8,1191,5127,744,6,35,0,D,15321,Centro Comercial,6,0.1,23,Económico,0.27,605865
55,Gastronomía,91,19.4,48276,1.8,1989,3336,816,4,155,1,C3,20326,Calle Comercial,11,0.08,26,Económico,0.27,553188
56,Gastronomía,71,12.9,79206,11.8,949,2884,904,6,114,0,C3,19146,Calle Comercial,12,0.07,35,Medio,0.27,318589
57,Gastronomía,126,25.0,54932,0.5,2528,5401,785,5,27,1,ABC1,7796,Calle Comercial,4,0.08,50,Premium,0.23,500631
58,Gastronomía,78,14.0,77180,10.9,1422,5666,771,5,161,0,C2,12113,Calle Comercial,12,0.04,29,Medio,0.21,627596
59,Gastronomía,129,22.1,40991,13.7,1461,2684,949,2,379,1,D,21939,Barrio Residencial,3,0.08,35,Económico,0.22,482114
60,Gastronomía,95,13.8,40466,1.1,977,4835,922,6,44,0,D,16794,Centro Comercial,11,0.09,31,Medio,0.21,378867
61,Gastronomía,98,18.2,70665,6.5,984,3543,777,9,647,0,D,23991,Barrio Residencial,4,0.04,31,Económico,0.25,397150
62,Gastronomía,77,11.1,46929,11.0,2780,3684,949,6,212,0,C3,20443,Calle Comercial,10,0.04,38,Medio-Alto,0.21,643472
63,Gastronomía,112,21.4,56853,3.3,2767,11584,828,5,28,0,ABC1,5815,Shopping,11,0.04,56,Premium,0.25,730409
64,Gastronomía,67,11.7,68768,12.3,640,2844,949,9,683,0,D,15638,Barrio Residencial,9,0.06,27,Económico,0.24,330120
65,Gastronomía,74,20.0,62502,11.6,1862,4383,848,5,231,1,D,23719,Calle Comercial,5,0.09,26,Económico,0.26,792293
66,Gastronomía,122,25.0,55683,10.7,1685,4942,608,7,33,0,C2,13521,Centro Comercial,8,0.1,34,Medio,0.26,442745
67,Gastronomía,107,23.4,54305,13.7,1113,6100,604,5,2,0,C2,14458,Shopping,9,0.05,40,Premium,0.22,419658
68,Gastronomía,124,25.0,57526,4.4,1277,5677,949,5,22,1,C2,16713,Shopping,17,0.08,33,Medio,0.25,477195
69,Gastronomía,75,13.1,44698,4.7,872,5294,759,9,245,0,C3,14089,Calle Comercial,11,0.09,26,Económico,0.21,323130
70,Gastronomía,89,19.1,75907,0.6,4511,6240,895,4,16,0,ABC1,10418,Shopping,6,0.07,47,Premium,0.22,985411
71,Gastronomía,112,20.1,53699,4.5,3064,4901,791,2,684,0,ABC1,11581,Barrio Residencial,8,0.04,56,Premium,0.25,499781
72,Gastronomía,114,25.0,34454,4.0,3890,6962,792,7,192,0,ABC1,10240,Calle Comercial,17,0.07,45,Premium,0.23,827026
73,Gastronomía,63,16.8,63634,6.3,1004,6225,776,6,19,1,C3,17949,Centro Comercial,6,0.03,43,Medio-Alto,0.24,277705
74,Gastronomía,103,16.4,46463,0.9,1483,2670,949,6,75,0,D,22401,Calle Comercial,12,0.03,37,Medio,0.25,464663
75,Gastronomía,90,14.8,66638,6.0,1071,3753,859,3,194,0,D,19627,Calle Comercial,14,0.03,28,Económico,0.21,365125
76,Gastronomía,122,19.9,41163,11.0,1830,3833,736,8,30,0,C2,15370,Calle Comercial,14,0.08,46,Premium,0.21,489878
77,Gastronomía,109,25.0,52916,1.6,3012,7609,785,5,131,0,ABC1,9641,Calle Comercial,2,0.06,57,Premium,0.25,711095
78,Gastronomía,71,10.2,35953,0.4,246,3393,697,3,78,0,D,24582,Calle Comercial,2,0.05,40,Medio-Alto,0.23,139087
79,Gastronomía,117,20.1,52941,6.0,714,2280,773,5,68,0,D,23832,Calle Comercial,13,0.08,32,Medio,0.25,370544
80,Gastronomía,100,20.3,48217,6.3,697,3035,849,5,27,1,D,21243,Centro Comercial,7,0.1,33,Medio,0.23,422946
81,Gastronomía,60,14.1,68163,5.0,995,2583,949,5,691,1,D,22981,Barrio Residencial,8,0.06,28,Económico,0.23,437207
82,Gastronomía,76,14.6,55421,5.7,480,3401,700,7,75,0,D,23368,Calle Comercial,9,0.05,28,Económico,0.22,193601
83,Gastronomía,104,23.0,45758,1.1,978,2072,838,3,698,1,D,16494,Barrio Residencial,5,0.06,36,Medio,0.21,385105
84,Gastronomía,108,25.0,47357,0.8,2231,5434,736,6,43,1,ABC1,11341,Shopping,3,0.04,34,Medio-Alto,0.23,617016
85,Gastronomía,100,22.0,35243,12.0,1763,5652,638,8,193,0,ABC1,8140,Calle Comercial,9,0.03,36,Premium,0.26,352976
86,Gastronomía,105,14.8,72945,6.5,1876,5602,736,3,30,0,C2,11475,Calle Comercial,19,0.05,37,Medio-Alto,0.26,434450
87,Gastronomía,63,15.3,38548,0.7,2573,4810,739,4,286,0,ABC1,5357,Calle Comercial,9,0.09,47,Premium,0.2,615626
88,Gastronomía,106,25.0,44714,3.3,3192,7030,949,2,95,1,ABC1,10995,Calle Comercial,7,0.08,36,Medio-Alto,0.21,798154
89,Gastronomía,74,12.8,33540,1.2,1393,2129,879,6,773,0,D,23837,Barrio Residencial,7,0.07,29,Económico,0.26,542617
90,Gastronomía,115,25.0,31624,0.3,2101,2442,730,9,729,1,C3,19713,Barrio Residencial,6,0.04,23,Económico,0.26,592747
91,Gastronomía,71,22.5,39266,9.6,1340,4980,755,8,256,1,C3,19613,Calle Comercial,10,0.04,36,Medio,0.2,416751
92,Gastronomía,69,14.8,55830,6.2,1029,3044,644,4,148,0,C3,12832,Calle Comercial,10,0.06,39,Medio-Alto,0.2,355440
93,Gastronomía,69,20.7,36324,4.5,3880,5586,579,8,46,1,ABC1,6302,Shopping,5,0.08,47,Premium,0.25,918959
94,Gastronomía,113,18.7,57908,1.6,816,2801,835,6,48,0,D,20773,Calle Comercial,11,0.02,36,Medio,0.23,253446
95,Gastronomía,88,15.9,51024,3.4,1743,3411,823,5,43,0,D,17334,Shopping,10,0.07,29,Económico,0.25,750642
96,Gastronomía,107,15.2,74965,1.5,2399,9438,663,7,44,0,C2,13821,Shopping,15,0.02,40,Premium,0.26,752026
97,Gastronomía,62,13.4,71391,5.8,1470,2595,949,7,85,1,D,21667,Calle Comercial,14,0.05,23,Económico,0.26,512150
98,Gastronomía,82,13.1,32358,1.2,387,2717,743,2,101,0,D,21812,Calle Comercial,4,0.02,25,Económico,0.23,164193
99,Gastronomía,110,25.0,78858,9.9,1558,4668,669,2,244,1,ABC1,8471,Calle Comercial,5,0.03,35,Premium,0.21,340213
100,Gastronomía,117,17.8,45183,5.7,2252,2977,906,6,787,0,D,19866,Barrio Residencial,14,0.03,21,Económico,0.27,604325
101,Gastronomía,117,22.5,55275,6.0,605,3512,888,5,701,0,D,15100,Barrio Residencial,17,0.08,30,Económico,0.22,211680
102,Gastronomía,85,12.4,54415,0.7,1883,9423,907,7,15,0,C2,10480,Shopping,8,0.09,34,Medio-Alto,0.21,609062
103,Gastronomía,82,19.7,46783,0.3,1057,3520,949,5,367,1,D,21737,Barrio Residencial,17,0.08,36,Medio,0.26,570116
104,Gastronomía,62,12.0,60579,10.1,2660,3183,745,6,268,0,C3,15474,Calle Comercial,1,0.05,39,Medio-Alto,0.25,725209
105,Gastronomía,97,18.0,32704,13.3,1953,2478,794,6,317,0,D,16860,Barrio Residencial,6,0.03,24,Económico,0.21,513824
106,Gastronomía,113,14.2,59902,10.2,1605,3294,851,5,216,0,D,19330,Calle Comercial,15,0.1,24,Económico,0.23,540441
107,Gastronomía,98,16.0,30560,10.8,3694,7558,949,9,15,0,C2,16704,Centro Comercial,8,0.09,43,Premium,0.26,907609
108,Gastronomía,93,25.0,43849,4.5,2438,9412,747,7,21,1,ABC1,8262,Centro Comercial,4,0.09,35,Medio-Alto,0.2,663310
109,Gastronomía,120,16.7,43071,6.0,2081,3099,898,4,475,0,C2,15897,Barrio Residencial,11,0.08,32,Medio,0.24,693329
110,Gastronomía,81,22.0,57431,1.8,1092,2612,871,7,75,1,D,18779,Calle Comercial,5,0.08,26,Económico,0.22,379872
111,Gastronomía,91,12.8,61092,1.5,325,1549,921,5,576,0,D,23097,Barrio Residencial,6,0.03,30,Económico,0.2,157845
112,Gastronomía,119,25.0,56834,6.1,2784,9789,796,8,40,1,C2,15410,Shopping,4,0.07,31,Medio,0.2,906214
113,Gastronomía,71,14.1,71449,1.4,3521,8546,814,7,32,0,C2,17232,Shopping,12,0.1,36,Medio-Alto,0.24,959335
114,Gastronomía,78,17.7,41565,0.7,2783,4388,629,3,102,0,ABC1,7643,Calle Comercial,14,0.1,38,Medio-Alto,0.27,502870
115,Gastronomía,92,17.7,33687,1.8,2449,9358,571,3,40,0,ABC1,9438,Centro Comercial,5,0.08,56,Premium,0.27,721573
116,Gastronomía,125,25.0,37294,1.0,1165,4553,918,5,164,1,C2,14866,Calle Comercial,13,0.07,32,Medio,0.25,462688
117,Gastronomía,124,22.3,33904,8.7,1592,4754,935,7,183,1,D,18369,Calle Comercial,15,0.09,23,Económico,0.27,489509
118,Gastronomía,63,10.7,74071,1.9,2156,7419,904,3,18,0,C2,13083,Shopping,13,0.08,34,Medio,0.25,663215
119,Gastronomía,84,19.9,53528,1.5,2891,3407,792,7,408,1,ABC1,5630,Barrio Residencial,3,0.03,52,Premium,0.24,685170
120,Gastronomía,95,16.1,48929,5.7,807,2790,949,8,41,0,D,22507,Centro Comercial,14,0.05,21,Económico,0.22,377193
121,Gastronomía,102,14.2,56895,5.7,984,2987,738,6,677,0,C3,13694,Barrio Residencial,15,0.08,31,Medio,0.23,241932
122,Gastronomía,110,17.1,50411,1.7,696,8649,933,7,25,0,C2,13963,Shopping,2,0.03,45,Premium,0.27,330946
123,Gastronomía,96,24.6,68825,11.6,2623,4454,547,7,579,0,ABC1,9156,Barrio Residencial,9,0.04,36,Premium,0.27,512175
124,Gastronomía,85,11.9,79982,0.9,1289,3909,854,7,489,0,C2,16108,Barrio Residencial,7,0.07,40,Premium,0.22,320637
125,Gastronomía,125,16.9,51234,5.0,2030,7066,663,6,37,0,C2,17167,Centro Comercial,5,0.07,28,Medio,0.23,777880
126,Gastronomía,92,25.0,34767,2.0,956,8206,902,4,47,1,C2,12442,Centro Comercial,10,0.02,40,Medio-Alto,0.23,414839
127,Gastronomía,84,18.2,60764,12.1,1365,3600,949,6,173,1,D,18143,Calle Comercial,6,0.09,39,Medio,0.26,728818
128,Gastronomía,103,18.5,72306,0.6,4555,6334,843,8,19,0,ABC1,6307,Centro Comercial,6,0.04,53,Premium,0.21,842741
129,Gastronomía,100,25.0,58777,1.0,1920,5431,911,7,19,1,C3,20708,Centro Comercial,7,0.04,40,Medio-Alto,0.27,684559
130,Gastronomía,64,13.0,49331,10.8,1820,4839,612,7,19,0,C2,11699,Centro Comercial,18,0.04,39,Medio-Alto,0.21,584637
131,Gastronomía,115,20.5,41850,13.2,933,2818,743,4,201,0,D,22132,Calle Comercial,11,0.08,30,Económico,0.25,599513
132,Gastronomía,73,12.1,73403,3.3,1831,4249,625,6,138,0,ABC1,6048,Calle Comercial,7,0.07,44,Premium,0.26,408824
133,Gastronomía,126,21.5,66743,5.2,1830,2421,949,7,445,0,C3,15944,Barrio Residencial,14,0.1,34,Medio,0.21,396796
134,Gastronomía,92,15.8,36197,4.7,815,2611,919,6,759,0,D,19236,Barrio Residencial,15,0.03,32,Económico,0.21,340035
135,Gastronomía,117,23.0,51202,2.0,1912,3675,805,4,298,0,C2,16211,Barrio Residencial,5,0.04,29,Medio,0.2,453855
136,Gastronomía,92,13.9,35882,0.7,2212,7181,913,3,13,0,C2,12966,Centro Comercial,11,0.08,33,Medio-Alto,0.25,874357
137,Gastronomía,69,9.6,59169,14.4,1976,5902,742,7,27,0,C2,15030,Shopping,9,0.06,43,Premium,0.23,987549
138,Gastronomía,101,13.9,71859,8.1,3000,4843,949,6,187,0,C3,16734,Calle Comercial,8,0.04,25,Económico,0.25,772233
139,Gastronomía,126,21.7,57254,1.0,1515,2742,822,3,615,0,C3,21261,Barrio Residencial,4,0.09,42,Medio-Alto,0.22,348036
140,Gastronomía,99,19.8,79032,13.4,1254,4415,888,5,439,0,C3,12619,Barrio Residencial,4,0.03,37,Medio,0.25,250635
141,Gastronomía,111,25.0,52372,11.6,2272,4124,949,7,237,1,C3,20879,Calle Comercial,15,0.03,36,Medio-Alto,0.21,592925
142,Gastronomía,64,13.4,45635,1.1,1008,4796,949,6,199,0,C3,18840,Calle Comercial,7,0.07,26,Económico,0.26,303981
143,Gastronomía,103,12.2,45587,3.8,694,4058,693,8,100,0,D,22939,Calle Comercial,5,0.08,25,Económico,0.2,301229
144,Gastronomía,81,23.3,50340,1.9,1816,5237,948,6,31,1,C2,16141,Centro Comercial,6,0.06,48,Premium,0.22,826664
145,Gastronomía,75,15.8,74942,14.6,1258,5403,804,3,211,0,C3,17822,Calle Comercial,14,0.04,40,Medio-Alto,0.26,520888
146,Gastronomía,87,17.7,69012,9.2,4247,5878,833,4,192,0,ABC1,8409,Calle Comercial,6,0.09,48,Premium,0.26,872329
147,Gastronomía,93,25.0,71228,12.5,1464,2251,949,7,88,1,C3,17272,Calle Comercial,8,0.08,44,Medio-Alto,0.22,486696
148,Gastronomía,88,16.2,30006,5.2,717,4427,724,4,35,0,C3,15048,Centro Comercial,7,0.05,26,Económico,0.24,254985
149,Gastronomía,122,23.0,68897,4.6,1114,4928,749,4,5,0,C3,16081,Shopping,10,0.04,28,Económico,0.26,398234
150,Gastronomía,66,11.6,62547,1.3,3682,4037,649,5,91,0,ABC1,7953,Calle Comercial,12,0.1,46,Premium,0.26,784423
151,Gastronomía,66,10.4,73907,1.2,774,2874,949,7,237,0,D,18644,Calle Comercial,15,0.08,40,Medio,0.22,269527
152,Gastronomía,80,25.0,34502,5.7,2233,4272,939,6,122,1,ABC1,10767,Calle Comercial,6,0.03,41,Premium,0.24,468465
153,Gastronomía,104,17.7,54112,11.4,2027,5790,924,4,734,0,ABC1,10192,Barrio Residencial,8,0.03,50,Premium,0.27,561670
154,Gastronomía,102,17.8,73502,0.1,1997,8611,885,7,34,0,C2,10591,Shopping,10,0.03,38,Medio-Alto,0.27,855970
155,Gastronomía,90,17.3,76517,13.4,898,2892,949,3,273,0,C3,19653,Calle Comercial,13,0.04,29,Económico,0.25,351461
156,Gastronomía,82,11.0,58557,4.0,1594,3141,949,6,249,0,D,19823,Barrio Residencial,11,0.05,32,Económico,0.26,650664
157,Gastronomía,105,21.3,57214,10.9,3445,3472,891,5,270,0,ABC1,11263,Calle Comercial,6,0.03,52,Premium,0.23,1073536
158,Gastronomía,74,21.7,38643,1.5,1853,4513,949,8,765,1,C3,20816,Barrio Residencial,15,0.05,36,Medio,0.22,669815
159,Gastronomía,94,16.3,61102,14.9,1450,2632,710,4,130,0,C2,11707,Calle Comercial,9,0.06,26,Económico,0.24,446066
160,Gastronomía,128,25.0,39120,6.3,1412,6345,935,2,100,1,C2,10518,Calle Comercial,1,0.02,49,Premium,0.22,590646
161,Gastronomía,106,21.9,66597,0.6,1718,4626,905,2,128,0,C3,12249,Calle Comercial,11,0.1,28,Económico,0.26,521725
162,Gastronomía,106,13.9,60872,6.3,1785,4567,949,8,203,0,D,22917,Calle Comercial,9,0.08,36,Medio,0.23,731774
163,Gastronomía,114,20.8,43200,13.0,2199,4982,834,3,7,0,C2,16697,Shopping,6,0.07,41,Medio-Alto,0.24,843099
164,Gastronomía,102,12.9,59778,9.0,723,2974,675,4,58,0,D,17710,Calle Comercial,7,0.07,26,Económico,0.22,263246
165,Gastronomía,117,21.8,72600,4.9,385,1792,807,6,634,0,D,24690,Barrio Residencial,4,0.09,34,Medio,0.22,197969
166,Gastronomía,87,19.8,67539,0.5,1330,2543,710,6,32,1,C3,16367,Calle Comercial,7,0.05,43,Premium,0.22,568772
167,Gastronomía,117,20.5,68501,9.6,723,4768,751,3,3,0,D,23522,Centro Comercial,8,0.08,32,Económico,0.22,280291
168,Gastronomía,107,22.5,68912,5.7,2237,6209,760,5,13,0,C3,18413,Centro Comercial,10,0.03,36,Medio-Alto,0.21,746870
169,Gastronomía,107,18.1,32194,0.6,695,4094,949,6,422,0,D,19572,Barrio Residencial,12,0.03,38,Medio,0.21,263173
170,Gastronomía,76,12.7,58211,5.6,2013,3973,702,7,542,0,C2,17361,Barrio Residencial,8,0.02,39,Medio-Alto,0.21,643900
171,Gastronomía,86,13.2,72592,12.6,1542,2487,857,5,237,0,D,18152,Calle Comercial,8,0.02,29,Económico,0.24,704944
172,Gastronomía,125,22.8,41189,0.7,573,2558,740,6,233,0,D,21203,Calle Comercial,12,0.07,30,Económico,0.22,270476
173,Gastronomía,78,24.9,74814,2.0,2594,5028,949,5,232,1,C3,19763,Calle Comercial,6,0.08,29,Económico,0.23,581857
174,Gastronomía,117,20.7,63635,5.1,1049,5913,620,7,77,0,C3,14236,Calle Comercial,10,0.02,26,Económico,0.2,373227
175,Gastronomía,90,16.0,37868,4.3,1734,5036,926,6,98,0,C3,14774,Calle Comercial,7,0.02,31,Medio,0.2,629750
176,Gastronomía,104,14.3,30306,3.9,1551,6691,739,5,2,0,C2,16034,Shopping,5,0.06,45,Premium,0.23,581771
177,Gastronomía,123,25.0,50097,6.8,3288,3797,949,8,85,1,C3,16066,Calle Comercial,9,0.08,36,Medio,0.21,816210
178,Gastronomía,85,25.0,45846,1.3,2258,5780,777,7,86,1,C2,17729,Calle Comercial,11,0.04,31,Medio,0.23,659316
179,Gastronomía,111,21.5,49954,4.5,1421,2804,949,8,695,0,C3,20333,Barrio Residencial,16,0.03,35,Medio,0.23,261939
180,Gastronomía,121,22.2,52588,0.1,563,2985,788,6,243,0,D,20688,Calle Comercial,12,0.08,31,Económico,0.23,272334
181,Gastronomía,82,11.5,79497,0.5,1906,5108,949,4,41,0,C3,20216,Centro Comercial,6,0.05,26,Económico,0.23,640454
182,Gastronomía,121,16.9,58942,0.8,641,5759,949,9,25,0,D,22555,Centro Comercial,9,0.04,31,Medio,0.22,347531
183,Gastronomía,113,21.7,78735,10.4,835,3753,750,5,55,1,D,18700,Calle Comercial,10,0.06,31,Económico,0.26,414172
184,Gastronomía,107,18.1,52764,0.2,816,5652,745,4,31,0,D,18479,Shopping,8,0.05,22,Económico,0.26,322842
185,Gastronomía,84,13.6,59292,0.0,2462,3506,618,5,53,0,C2,14725,Calle Comercial,7,0.09,45,Premium,0.26,550925
186,Gastronomía,82,14.2,44774,6.2,3374,5343,757,4,284,0,ABC1,10093,Calle Comercial,3,0.04,41,Premium,0.23,999236
187,Gastronomía,67,17.0,33690,6.3,1931,7076,944,6,36,1,C2,11401,Shopping,17,0.04,48,Premium,0.2,715070
188,Gastronomía,67,13.7,46945,1.6,686,2046,949,5,634,0,D,21614,Barrio Residencial,10,0.05,36,Medio,0.24,306134
189,Gastronomía,97,14.3,40898,5.8,1632,4594,669,7,6,0,C3,14417,Centro Comercial,17,0.07,24,Económico,0.22,549399
190,Gastronomía,125,25.0,43583,5.5,1302,3718,949,6,200,1,C3,21758,Calle Comercial,11,0.03,29,Económico,0.21,499891
191,Gastronomía,64,11.1,32428,9.7,2295,2668,693,7,736,0,C3,14503,Barrio Residencial,14,0.08,39,Medio-Alto,0.26,456770
192,Gastronomía,104,25.0,48228,13.4,3129,3618,794,3,21,0,ABC1,8709,Calle Comercial,13,0.06,49,Premium,0.23,924810
193,Gastronomía,114,25.0,56798,6.9,2442,4663,726,7,286,0,ABC1,7802,Calle Comercial,6,0.03,53,Premium,0.2,430366
